HR,Time(sec),Label
55.0,1646656779.0,0
56.5,1646656780.0,0
56.67,1646656781.0,0
57.75,1646656782.0,0
59.6,1646656783.0,0
61.67,1646656784.0,0
63.29,1646656785.0,0
65.12,1646656786.0,0
66.78,1646656787.0,0
68.0,1646656788.0,0
69.09,1646656789.0,0
70.25,1646656790.0,0
71.15,1646656791.0,0
71.71,1646656792.0,0
72.2,1646656793.0,0
72.69,1646656794.0,0
72.88,1646656795.0,0
73.06,1646656796.0,0
73.26,1646656797.0,0
73.45,1646656798.0,0
73.52,1646656799.0,0
73.77,1646656800.0,0
73.96,1646656801.0,0
74.21,1646656802.0,0
74.4,1646656803.0,0
74.62,1646656804.0,0
74.67,1646656805.0,0
74.96,1646656806.0,0
75.14,1646656807.0,0
75.27,1646656808.0,0
75.23,1646656809.0,0
75.06,1646656810.0,0
74.91,1646656811.0,0
74.79,1646656812.0,0
74.74,1646656813.0,0
74.64,1646656814.0,0
74.59,1646656815.0,0
74.63,1646656816.0,0
74.67,1646656817.0,0
74.68,1646656818.0,0
74.66,1646656819.0,0
74.64,1646656820.0,0
74.65,1646656821.0,0
74.61,1646656822.0,0
74.56,1646656823.0,0
74.5,1646656824.0,0
74.43,1646656825.0,0
74.35,1646656826.0,0
74.33,1646656827.0,0
74.3,1646656828.0,0
74.24,1646656829.0,0
74.17,1646656830.0,0
74.11,1646656831.0,0
74.06,1646656832.0,0
74.0,1646656833.0,0
73.93,1646656834.0,0
73.82,1646656835.0,0
73.69,1646656836.0,0
73.58,1646656837.0,0
73.45,1646656838.0,0
73.65,1646656839.0,0
73.83,1646656840.0,0
74.0,1646656841.0,0
74.1,1646656842.0,0
74.23,1646656843.0,0
74.32,1646656844.0,0
74.43,1646656845.0,0
74.47,1646656846.0,0
74.47,1646656847.0,0
74.48,1646656848.0,0
74.5,1646656849.0,0
74.43,1646656850.0,0
74.45,1646656851.0,0
74.55,1646656852.0,0
74.58,1646656853.0,0
74.57,1646656854.0,0
74.67,1646656855.0,0
74.78,1646656856.0,0
74.97,1646656857.0,0
75.18,1646656858.0,0
75.4,1646656859.0,0
75.55,1646656860.0,0
75.72,1646656861.0,0
75.47,1646656862.0,0
75.38,1646656863.0,0
75.35,1646656864.0,0
75.43,1646656865.0,0
75.4,1646656866.0,0
75.33,1646656867.0,0
75.27,1646656868.0,0
75.33,1646656869.0,0
75.45,1646656870.0,0
75.57,1646656871.0,0
75.67,1646656872.0,0
75.73,1646656873.0,0
75.87,1646656874.0,0
76.23,1646656875.0,0
76.52,1646656876.0,0
76.83,1646656877.0,0
77.1,1646656878.0,0
77.27,1646656879.0,0
77.37,1646656880.0,0
77.48,1646656881.0,0
77.55,1646656882.0,0
77.62,1646656883.0,0
77.67,1646656884.0,0
77.83,1646656885.0,0
78.02,1646656886.0,0
78.22,1646656887.0,0
78.42,1646656888.0,0
78.72,1646656889.0,0
79.0,1646656890.0,0
79.32,1646656891.0,0
79.7,1646656892.0,0
80.05,1646656893.0,0
80.4,1646656894.0,0
80.8,1646656895.0,0
81.48,1646656896.0,0
82.12,1646656897.0,0
82.77,1646656898.0,0
83.4,1646656899.0,0
84.02,1646656900.0,0
84.65,1646656901.0,0
85.27,1646656902.0,0
85.77,1646656903.0,0
86.23,1646656904.0,0
86.68,1646656905.0,0
87.15,1646656906.0,0
87.62,1646656907.0,0
88.08,1646656908.0,0
88.53,1646656909.0,0
89.05,1646656910.0,0
89.53,1646656911.0,0
89.98,1646656912.0,0
90.5,1646656913.0,0
91.05,1646656914.0,0
91.55,1646656915.0,0
92.02,1646656916.0,0
92.37,1646656917.0,0
92.68,1646656918.0,0
93.03,1646656919.0,0
93.38,1646656920.0,0
93.75,1646656921.0,0
94.5,1646656922.0,0
95.12,1646656923.0,0
95.67,1646656924.0,0
96.17,1646656925.0,0
96.67,1646656926.0,0
97.25,1646656927.0,0
97.87,1646656928.0,0
98.45,1646656929.0,0
99.05,1646656930.0,0
99.65,1646656931.0,0
100.25,1646656932.0,0
100.85,1646656933.0,0
101.42,1646656934.0,0
101.73,1646656935.0,0
102.08,1646656936.0,0
102.4,1646656937.0,0
102.78,1646656938.0,0
103.28,1646656939.0,0
103.83,1646656940.0,0
104.35,1646656941.0,0
104.93,1646656942.0,0
105.53,1646656943.0,0
106.17,1646656944.0,0
106.72,1646656945.0,0
107.27,1646656946.0,0
107.77,1646656947.0,0
108.27,1646656948.0,0
108.7,1646656949.0,0
109.15,1646656950.0,0
109.57,1646656951.0,0
109.9,1646656952.0,0
110.27,1646656953.0,0
110.65,1646656954.0,0
111.0,1646656955.0,0
111.12,1646656956.0,0
111.27,1646656957.0,0
111.38,1646656958.0,0
111.5,1646656959.0,0
111.62,1646656960.0,0
111.77,1646656961.0,0
111.93,1646656962.0,0
112.1,1646656963.0,0
112.27,1646656964.0,0
112.4,1646656965.0,0
112.52,1646656966.0,0
112.63,1646656967.0,0
112.75,1646656968.0,0
112.88,1646656969.0,0
112.97,1646656970.0,0
113.03,1646656971.0,0
113.1,1646656972.0,0
113.18,1646656973.0,0
113.27,1646656974.0,0
113.33,1646656975.0,0
113.42,1646656976.0,0
113.55,1646656977.0,0
113.72,1646656978.0,0
113.9,1646656979.0,0
114.08,1646656980.0,0
114.25,1646656981.0,0
114.43,1646656982.0,0
114.62,1646656983.0,0
114.8,1646656984.0,0
114.98,1646656985.0,0
114.87,1646656986.0,0
114.17,1646656987.0,0
113.48,1646656988.0,0
112.92,1646656989.0,0
112.3,1646656990.0,0
111.7,1646656991.0,0
111.07,1646656992.0,0
110.45,1646656993.0,0
109.82,1646656994.0,0
109.17,1646656995.0,0
108.52,1646656996.0,0
107.85,1646656997.0,0
107.18,1646656998.0,0
106.5,1646656999.0,0
105.85,1646657000.0,0
105.22,1646657001.0,0
104.58,1646657002.0,0
103.95,1646657003.0,0
103.28,1646657004.0,0
102.58,1646657005.0,0
101.87,1646657006.0,0
101.13,1646657007.0,0
100.42,1646657008.0,0
99.68,1646657009.0,0
98.95,1646657010.0,0
98.25,1646657011.0,0
97.53,1646657012.0,0
96.83,1646657013.0,0
96.18,1646657014.0,0
95.37,1646657015.0,0
94.58,1646657016.0,0
93.82,1646657017.0,0
93.08,1646657018.0,0
92.35,1646657019.0,0
91.7,1646657020.0,0
90.9,1646657021.0,0
90.18,1646657022.0,0
89.43,1646657023.0,0
88.63,1646657024.0,0
87.82,1646657025.0,0
87.02,1646657026.0,0
86.32,1646657027.0,0
85.63,1646657028.0,0
84.9,1646657029.0,0
84.18,1646657030.0,0
83.48,1646657031.0,0
82.85,1646657032.0,0
82.23,1646657033.0,0
81.7,1646657034.0,0
81.28,1646657035.0,0
80.8,1646657036.0,0
80.38,1646657037.0,0
79.9,1646657038.0,0
79.38,1646657039.0,0
78.88,1646657040.0,0
78.33,1646657041.0,0
77.8,1646657042.0,0
76.98,1646657043.0,0
76.17,1646657044.0,0
75.43,1646657045.0,0
75.03,1646657046.0,0
75.25,1646657047.0,0
75.35,1646657048.0,0
75.27,1646657049.0,0
75.37,1646657050.0,0
75.33,1646657051.0,0
75.38,1646657052.0,0
75.47,1646657053.0,0
75.55,1646657054.0,0
75.63,1646657055.0,0
75.68,1646657056.0,0
75.73,1646657057.0,0
75.78,1646657058.0,0
75.87,1646657059.0,0
75.93,1646657060.0,0
75.95,1646657061.0,0
75.95,1646657062.0,0
76.0,1646657063.0,0
76.07,1646657064.0,0
76.13,1646657065.0,0
76.17,1646657066.0,0
76.22,1646657067.0,0
76.23,1646657068.0,0
76.22,1646657069.0,0
76.27,1646657070.0,0
76.23,1646657071.0,0
76.25,1646657072.0,0
76.1,1646657073.0,0
75.92,1646657074.0,0
76.02,1646657075.0,0
76.03,1646657076.0,0
76.0,1646657077.0,0
75.93,1646657078.0,0
75.92,1646657079.0,0
75.72,1646657080.0,0
75.65,1646657081.0,0
75.63,1646657082.0,0
75.65,1646657083.0,0
75.72,1646657084.0,0
75.85,1646657085.0,0
75.98,1646657086.0,0
76.0,1646657087.0,0
76.02,1646657088.0,0
76.12,1646657089.0,0
76.23,1646657090.0,0
76.32,1646657091.0,0
76.27,1646657092.0,0
76.17,1646657093.0,0
75.97,1646657094.0,0
75.65,1646657095.0,0
75.38,1646657096.0,0
75.13,1646657097.0,0
74.97,1646657098.0,0
74.83,1646657099.0,0
74.62,1646657100.0,0
74.48,1646657101.0,0
74.28,1646657102.0,0
74.33,1646657103.0,0
74.4,1646657104.0,0
74.53,1646657105.0,0
74.63,1646657106.0,0
74.7,1646657107.0,0
74.83,1646657108.0,0
75.13,1646657109.0,0
75.27,1646657110.0,0
75.48,1646657111.0,0
75.65,1646657112.0,0
75.73,1646657113.0,0
75.58,1646657114.0,0
75.42,1646657115.0,0
75.38,1646657116.0,0
75.37,1646657117.0,0
75.35,1646657118.0,0
75.28,1646657119.0,0
75.15,1646657120.0,0
75.12,1646657121.0,0
75.17,1646657122.0,0
75.22,1646657123.0,0
75.32,1646657124.0,0
75.42,1646657125.0,0
75.6,1646657126.0,0
75.82,1646657127.0,0
76.05,1646657128.0,0
76.35,1646657129.0,0
76.53,1646657130.0,0
76.8,1646657131.0,0
77.02,1646657132.0,0
77.4,1646657133.0,0
77.77,1646657134.0,0
78.03,1646657135.0,0
78.33,1646657136.0,0
78.67,1646657137.0,0
79.03,1646657138.0,0
79.38,1646657139.0,0
79.82,1646657140.0,0
80.27,1646657141.0,0
80.6,1646657142.0,0
80.92,1646657143.0,0
81.23,1646657144.0,0
81.48,1646657145.0,0
81.72,1646657146.0,0
81.97,1646657147.0,0
82.2,1646657148.0,0
82.32,1646657149.0,0
82.48,1646657150.0,0
82.67,1646657151.0,0
82.92,1646657152.0,0
83.18,1646657153.0,0
83.52,1646657154.0,0
83.82,1646657155.0,0
84.15,1646657156.0,0
84.37,1646657157.0,0
84.53,1646657158.0,0
84.68,1646657159.0,0
84.9,1646657160.0,0
85.2,1646657161.0,0
85.52,1646657162.0,0
85.87,1646657163.0,0
86.22,1646657164.0,0
86.4,1646657165.0,0
86.6,1646657166.0,0
86.85,1646657167.0,0
87.08,1646657168.0,0
87.22,1646657169.0,0
87.38,1646657170.0,0
87.62,1646657171.0,0
87.65,1646657172.0,0
87.73,1646657173.0,0
88.05,1646657174.0,0
88.35,1646657175.0,0
88.55,1646657176.0,0
88.72,1646657177.0,0
89.02,1646657178.0,0
89.33,1646657179.0,0
89.7,1646657180.0,0
90.02,1646657181.0,0
90.25,1646657182.0,0
90.45,1646657183.0,0
90.6,1646657184.0,0
90.75,1646657185.0,0
90.83,1646657186.0,0
90.88,1646657187.0,0
90.93,1646657188.0,0
90.97,1646657189.0,0
91.12,1646657190.0,0
91.25,1646657191.0,0
91.47,1646657192.0,0
91.6,1646657193.0,0
91.77,1646657194.0,0
91.92,1646657195.0,0
92.07,1646657196.0,0
92.18,1646657197.0,0
92.3,1646657198.0,0
92.35,1646657199.0,0
92.38,1646657200.0,0
92.47,1646657201.0,0
92.55,1646657202.0,0
92.62,1646657203.0,0
92.7,1646657204.0,0
92.78,1646657205.0,0
92.93,1646657206.0,0
93.1,1646657207.0,0
93.27,1646657208.0,0
93.5,1646657209.0,0
93.63,1646657210.0,0
93.72,1646657211.0,0
93.88,1646657212.0,0
94.1,1646657213.0,0
94.18,1646657214.0,0
94.27,1646657215.0,0
94.33,1646657216.0,0
94.42,1646657217.0,0
94.5,1646657218.0,0
94.63,1646657219.0,0
94.83,1646657220.0,0
94.97,1646657221.0,0
95.08,1646657222.0,0
95.18,1646657223.0,0
95.28,1646657224.0,0
95.42,1646657225.0,0
95.53,1646657226.0,0
95.63,1646657227.0,0
95.77,1646657228.0,0
95.88,1646657229.0,0
95.98,1646657230.0,0
96.08,1646657231.0,0
96.37,1646657232.0,0
96.65,1646657233.0,0
96.95,1646657234.0,0
97.25,1646657235.0,0
97.5,1646657236.0,0
97.82,1646657237.0,0
98.05,1646657238.0,0
98.32,1646657239.0,0
98.58,1646657240.0,0
98.83,1646657241.0,0
99.1,1646657242.0,0
99.32,1646657243.0,0
99.5,1646657244.0,0
99.73,1646657245.0,0
100.02,1646657246.0,0
100.27,1646657247.0,0
100.52,1646657248.0,0
100.77,1646657249.0,0
100.88,1646657250.0,0
100.98,1646657251.0,0
101.07,1646657252.0,0
101.25,1646657253.0,0
101.42,1646657254.0,0
101.62,1646657255.0,0
101.83,1646657256.0,0
102.17,1646657257.0,0
102.5,1646657258.0,0
102.83,1646657259.0,0
103.15,1646657260.0,0
103.37,1646657261.0,0
103.63,1646657262.0,0
103.9,1646657263.0,0
104.15,1646657264.0,0
104.4,1646657265.0,0
104.6,1646657266.0,0
104.72,1646657267.0,0
104.87,1646657268.0,0
105.05,1646657269.0,0
105.23,1646657270.0,0
105.45,1646657271.0,0
105.6,1646657272.0,0
105.52,1646657273.0,0
105.48,1646657274.0,0
105.48,1646657275.0,0
105.48,1646657276.0,0
105.65,1646657277.0,0
105.82,1646657278.0,0
105.95,1646657279.0,0
106.0,1646657280.0,0
106.03,1646657281.0,0
106.1,1646657282.0,0
106.13,1646657283.0,0
106.2,1646657284.0,0
106.18,1646657285.0,0
106.15,1646657286.0,0
106.05,1646657287.0,0
105.92,1646657288.0,0
105.73,1646657289.0,0
105.52,1646657290.0,0
104.97,1646657291.0,0
104.47,1646657292.0,0
103.93,1646657293.0,0
103.38,1646657294.0,0
102.9,1646657295.0,0
102.45,1646657296.0,0
101.95,1646657297.0,0
101.42,1646657298.0,0
100.85,1646657299.0,0
100.28,1646657300.0,0
99.65,1646657301.0,0
99.03,1646657302.0,0
98.37,1646657303.0,0
97.75,1646657304.0,0
97.13,1646657305.0,0
96.48,1646657306.0,0
95.85,1646657307.0,0
95.25,1646657308.0,0
94.63,1646657309.0,0
