HR,Time(sec),Label
58.0,1644831910.0,0
61.0,1644831911.0,0
61.67,1644831912.0,0
62.75,1644831913.0,0
63.4,1644831914.0,0
64.17,1644831915.0,0
65.29,1644831916.0,0
66.38,1644831917.0,0
67.0,1644831918.0,0
67.5,1644831919.0,0
68.0,1644831920.0,0
68.42,1644831921.0,0
68.85,1644831922.0,0
69.21,1644831923.0,0
69.33,1644831924.0,0
69.38,1644831925.0,0
68.88,1644831926.0,0
68.39,1644831927.0,0
68.0,1644831928.0,0
67.85,1644831929.0,0
67.67,1644831930.0,0
67.55,1644831931.0,0
67.52,1644831932.0,0
67.5,1644831933.0,0
67.56,1644831934.0,0
67.54,1644831935.0,0
67.48,1644831936.0,0
67.5,1644831937.0,0
67.48,1644831938.0,0
67.5,1644831939.0,0
67.52,1644831940.0,0
67.56,1644831941.0,0
67.55,1644831942.0,0
67.5,1644831943.0,0
67.46,1644831944.0,0
67.89,1644831945.0,0
68.27,1644831946.0,0
68.66,1644831947.0,0
69.05,1644831948.0,0
69.45,1644831949.0,0
69.83,1644831950.0,0
70.17,1644831951.0,0
70.49,1644831952.0,0
70.75,1644831953.0,0
70.96,1644831954.0,0
71.11,1644831955.0,0
71.21,1644831956.0,0
71.33,1644831957.0,0
71.45,1644831958.0,0
71.56,1644831959.0,0
71.67,1644831960.0,0
71.77,1644831961.0,0
71.87,1644831962.0,0
71.96,1644831963.0,0
72.05,1644831964.0,0
72.12,1644831965.0,0
72.19,1644831966.0,0
72.24,1644831967.0,0
72.29,1644831968.0,0
72.33,1644831969.0,0
72.6,1644831970.0,0
72.73,1644831971.0,0
72.85,1644831972.0,0
72.9,1644831973.0,0
72.93,1644831974.0,0
72.93,1644831975.0,0
72.87,1644831976.0,0
72.77,1644831977.0,0
72.7,1644831978.0,0
72.65,1644831979.0,0
72.58,1644831980.0,0
72.52,1644831981.0,0
72.43,1644831982.0,0
72.37,1644831983.0,0
72.33,1644831984.0,0
72.32,1644831985.0,0
72.45,1644831986.0,0
72.6,1644831987.0,0
72.75,1644831988.0,0
72.87,1644831989.0,0
73.03,1644831990.0,0
73.18,1644831991.0,0
73.3,1644831992.0,0
73.42,1644831993.0,0
73.48,1644831994.0,0
73.57,1644831995.0,0
73.68,1644831996.0,0
73.78,1644831997.0,0
73.92,1644831998.0,0
74.03,1644831999.0,0
