HR,Time(sec),Label
85.0,1645446999.0,0
80.0,1645447000.0,0
87.0,1645447001.0,0
91.0,1645447002.0,0
84.4,1645447003.0,0
81.0,1645447004.0,0
80.29,1645447005.0,0
79.62,1645447006.0,0
79.11,1645447007.0,0
78.5,1645447008.0,0
77.64,1645447009.0,0
76.92,1645447010.0,0
76.31,1645447011.0,0
75.71,1645447012.0,0
75.07,1645447013.0,0
74.5,1645447014.0,0
73.94,1645447015.0,0
73.39,1645447016.0,0
73.0,1645447017.0,0
72.55,1645447018.0,0
72.1,1645447019.0,0
71.64,1645447020.0,0
71.22,1645447021.0,0
70.83,1645447022.0,0
70.52,1645447023.0,0
70.23,1645447024.0,0
69.93,1645447025.0,0
69.64,1645447026.0,0
69.48,1645447027.0,0
69.27,1645447028.0,0
69.06,1645447029.0,0
68.88,1645447030.0,0
68.61,1645447031.0,0
68.35,1645447032.0,0
68.11,1645447033.0,0
67.81,1645447034.0,0
67.51,1645447035.0,0
67.13,1645447036.0,0
67.05,1645447037.0,0
66.93,1645447038.0,0
66.9,1645447039.0,0
66.74,1645447040.0,0
66.6,1645447041.0,0
66.48,1645447042.0,0
66.33,1645447043.0,0
66.13,1645447044.0,0
65.91,1645447045.0,0
65.73,1645447046.0,0
65.51,1645447047.0,0
65.22,1645447048.0,0
64.98,1645447049.0,0
64.67,1645447050.0,0
64.43,1645447051.0,0
64.17,1645447052.0,0
63.96,1645447053.0,0
63.75,1645447054.0,0
63.65,1645447055.0,0
63.59,1645447056.0,0
63.53,1645447057.0,0
63.47,1645447058.0,0
63.03,1645447059.0,0
62.72,1645447060.0,0
61.93,1645447061.0,0
61.05,1645447062.0,0
60.92,1645447063.0,0
60.72,1645447064.0,0
60.3,1645447065.0,0
59.92,1645447066.0,0
59.92,1645447067.0,0
59.93,1645447068.0,0
60.18,1645447069.0,0
60.52,1645447070.0,0
60.85,1645447071.0,0
61.2,1645447072.0,0
61.58,1645447073.0,0
61.98,1645447074.0,0
62.42,1645447075.0,0
62.87,1645447076.0,0
63.27,1645447077.0,0
63.67,1645447078.0,0
64.08,1645447079.0,0
64.37,1645447080.0,0
64.67,1645447081.0,0
64.93,1645447082.0,0
65.17,1645447083.0,0
65.42,1645447084.0,0
65.65,1645447085.0,0
65.87,1645447086.0,0
66.03,1645447087.0,0
66.23,1645447088.0,0
66.48,1645447089.0,0
66.75,1645447090.0,0
67.07,1645447091.0,0
67.37,1645447092.0,0
67.65,1645447093.0,0
67.98,1645447094.0,0
68.22,1645447095.0,0
68.53,1645447096.0,0
68.6,1645447097.0,0
68.68,1645447098.0,0
68.62,1645447099.0,0
68.67,1645447100.0,0
68.67,1645447101.0,0
68.62,1645447102.0,0
68.58,1645447103.0,0
68.6,1645447104.0,0
68.63,1645447105.0,0
68.67,1645447106.0,0
68.75,1645447107.0,0
68.93,1645447108.0,0
69.08,1645447109.0,0
69.28,1645447110.0,0
69.45,1645447111.0,0
69.62,1645447112.0,0
69.68,1645447113.0,0
69.78,1645447114.0,0
69.8,1645447115.0,0
69.78,1645447116.0,0
69.85,1645447117.0,0
69.88,1645447118.0,0
69.97,1645447119.0,0
70.1,1645447120.0,0
70.23,1645447121.0,0
70.45,1645447122.0,0
70.65,1645447123.0,0
70.8,1645447124.0,0
71.0,1645447125.0,0
71.15,1645447126.0,0
70.92,1645447127.0,0
70.67,1645447128.0,0
70.27,1645447129.0,0
69.78,1645447130.0,0
69.25,1645447131.0,0
68.77,1645447132.0,0
68.57,1645447133.0,0
68.32,1645447134.0,0
68.0,1645447135.0,0
67.63,1645447136.0,0
67.28,1645447137.0,0
66.97,1645447138.0,0
66.67,1645447139.0,0
66.52,1645447140.0,0
66.32,1645447141.0,0
66.52,1645447142.0,0
66.82,1645447143.0,0
67.02,1645447144.0,0
67.32,1645447145.0,0
67.58,1645447146.0,0
67.85,1645447147.0,0
68.15,1645447148.0,0
68.38,1645447149.0,0
68.62,1645447150.0,0
68.88,1645447151.0,0
69.18,1645447152.0,0
69.5,1645447153.0,0
69.88,1645447154.0,0
70.37,1645447155.0,0
70.85,1645447156.0,0
71.4,1645447157.0,0
71.93,1645447158.0,0
72.53,1645447159.0,0
73.1,1645447160.0,0
73.58,1645447161.0,0
74.13,1645447162.0,0
74.75,1645447163.0,0
75.37,1645447164.0,0
75.95,1645447165.0,0
76.5,1645447166.0,0
77.03,1645447167.0,0
77.53,1645447168.0,0
78.08,1645447169.0,0
78.68,1645447170.0,0
79.27,1645447171.0,0
79.87,1645447172.0,0
80.52,1645447173.0,0
81.15,1645447174.0,0
81.77,1645447175.0,0
82.35,1645447176.0,0
82.85,1645447177.0,0
83.35,1645447178.0,0
83.82,1645447179.0,0
84.3,1645447180.0,0
84.82,1645447181.0,0
85.32,1645447182.0,0
85.83,1645447183.0,0
86.4,1645447184.0,0
86.93,1645447185.0,0
87.5,1645447186.0,0
88.07,1645447187.0,0
88.65,1645447188.0,0
89.22,1645447189.0,0
89.77,1645447190.0,0
90.33,1645447191.0,0
90.82,1645447192.0,0
91.02,1645447193.0,0
91.25,1645447194.0,0
91.55,1645447195.0,0
91.9,1645447196.0,0
92.25,1645447197.0,0
92.7,1645447198.0,0
93.13,1645447199.0,0
93.55,1645447200.0,0
94.02,1645447201.0,0
94.12,1645447202.0,0
94.15,1645447203.0,0
94.27,1645447204.0,0
94.32,1645447205.0,0
94.42,1645447206.0,0
94.5,1645447207.0,0
94.55,1645447208.0,0
94.6,1645447209.0,0
94.63,1645447210.0,0
94.63,1645447211.0,0
94.62,1645447212.0,0
94.6,1645447213.0,0
94.5,1645447214.0,0
94.42,1645447215.0,0
94.32,1645447216.0,0
94.2,1645447217.0,0
94.13,1645447218.0,0
94.07,1645447219.0,0
94.0,1645447220.0,0
94.05,1645447221.0,0
94.1,1645447222.0,0
94.07,1645447223.0,0
94.02,1645447224.0,0
94.02,1645447225.0,0
94.02,1645447226.0,0
94.03,1645447227.0,0
94.03,1645447228.0,0
93.98,1645447229.0,0
93.9,1645447230.0,0
93.83,1645447231.0,0
93.8,1645447232.0,0
93.77,1645447233.0,0
93.73,1645447234.0,0
93.72,1645447235.0,0
93.73,1645447236.0,0
93.77,1645447237.0,0
93.82,1645447238.0,0
93.88,1645447239.0,0
93.9,1645447240.0,0
93.92,1645447241.0,0
93.92,1645447242.0,0
93.9,1645447243.0,0
93.82,1645447244.0,0
93.72,1645447245.0,0
93.58,1645447246.0,0
93.45,1645447247.0,0
93.33,1645447248.0,0
93.23,1645447249.0,0
93.18,1645447250.0,0
93.18,1645447251.0,0
93.25,1645447252.0,0
93.32,1645447253.0,0
93.38,1645447254.0,0
93.42,1645447255.0,0
93.5,1645447256.0,0
93.62,1645447257.0,0
93.63,1645447258.0,0
93.65,1645447259.0,0
93.68,1645447260.0,0
93.7,1645447261.0,0
93.72,1645447262.0,0
93.75,1645447263.0,0
93.78,1645447264.0,0
93.82,1645447265.0,0
93.85,1645447266.0,0
93.92,1645447267.0,0
93.97,1645447268.0,0
94.05,1645447269.0,0
94.13,1645447270.0,0
94.22,1645447271.0,0
94.3,1645447272.0,0
94.38,1645447273.0,0
94.5,1645447274.0,0
94.62,1645447275.0,0
94.75,1645447276.0,0
94.92,1645447277.0,0
95.05,1645447278.0,0
95.23,1645447279.0,0
95.43,1645447280.0,0
95.63,1645447281.0,0
95.82,1645447282.0,0
96.02,1645447283.0,0
96.27,1645447284.0,0
96.65,1645447285.0,0
97.0,1645447286.0,0
97.3,1645447287.0,0
97.6,1645447288.0,0
97.9,1645447289.0,0
98.13,1645447290.0,0
98.35,1645447291.0,0
98.38,1645447292.0,0
98.37,1645447293.0,0
98.37,1645447294.0,0
98.38,1645447295.0,0
98.42,1645447296.0,0
98.43,1645447297.0,0
98.48,1645447298.0,0
98.45,1645447299.0,0
98.42,1645447300.0,0
98.47,1645447301.0,0
98.62,1645447302.0,0
98.8,1645447303.0,0
99.02,1645447304.0,0
