HR,Time(sec),Label
73.0,1646646355.0,0
79.0,1646646356.0,0
77.0,1646646357.0,0
72.5,1646646358.0,0
69.8,1646646359.0,0
75.0,1646646360.0,0
77.0,1646646361.0,0
78.38,1646646362.0,0
79.33,1646646363.0,0
78.9,1646646364.0,0
78.73,1646646365.0,0
78.42,1646646366.0,0
78.31,1646646367.0,0
78.14,1646646368.0,0
78.0,1646646369.0,0
77.88,1646646370.0,0
77.71,1646646371.0,0
77.56,1646646372.0,0
77.42,1646646373.0,0
77.3,1646646374.0,0
77.29,1646646375.0,0
77.27,1646646376.0,0
77.26,1646646377.0,0
77.29,1646646378.0,0
77.36,1646646379.0,0
77.38,1646646380.0,0
77.33,1646646381.0,0
77.25,1646646382.0,0
77.1,1646646383.0,0
76.9,1646646384.0,0
76.65,1646646385.0,0
76.12,1646646386.0,0
75.61,1646646387.0,0
75.32,1646646388.0,0
75.06,1646646389.0,0
74.33,1646646390.0,0
73.62,1646646391.0,0
72.97,1646646392.0,0
72.36,1646646393.0,0
71.75,1646646394.0,0
71.22,1646646395.0,0
70.74,1646646396.0,0
70.35,1646646397.0,0
69.98,1646646398.0,0
69.71,1646646399.0,0
69.48,1646646400.0,0
69.21,1646646401.0,0
68.94,1646646402.0,0
69.06,1646646403.0,0
69.2,1646646404.0,0
69.33,1646646405.0,0
69.46,1646646406.0,0
69.57,1646646407.0,0
69.69,1646646408.0,0
69.78,1646646409.0,0
69.84,1646646410.0,0
69.51,1646646411.0,0
69.22,1646646412.0,0
68.93,1646646413.0,0
68.88,1646646414.0,0
68.78,1646646415.0,0
68.48,1646646416.0,0
68.38,1646646417.0,0
68.5,1646646418.0,0
68.63,1646646419.0,0
68.08,1646646420.0,0
67.85,1646646421.0,0
67.63,1646646422.0,0
67.43,1646646423.0,0
67.58,1646646424.0,0
67.73,1646646425.0,0
68.03,1646646426.0,0
68.28,1646646427.0,0
68.55,1646646428.0,0
68.82,1646646429.0,0
69.1,1646646430.0,0
69.37,1646646431.0,0
69.62,1646646432.0,0
69.87,1646646433.0,0
70.12,1646646434.0,0
70.33,1646646435.0,0
70.55,1646646436.0,0
70.82,1646646437.0,0
70.77,1646646438.0,0
70.7,1646646439.0,0
70.65,1646646440.0,0
70.7,1646646441.0,0
70.83,1646646442.0,0
71.07,1646646443.0,0
71.38,1646646444.0,0
71.73,1646646445.0,0
72.2,1646646446.0,0
72.72,1646646447.0,0
73.15,1646646448.0,0
73.57,1646646449.0,0
74.23,1646646450.0,0
74.65,1646646451.0,0
75.08,1646646452.0,0
75.52,1646646453.0,0
75.97,1646646454.0,0
76.37,1646646455.0,0
76.75,1646646456.0,0
77.07,1646646457.0,0
77.38,1646646458.0,0
77.63,1646646459.0,0
77.87,1646646460.0,0
78.13,1646646461.0,0
78.42,1646646462.0,0
78.37,1646646463.0,0
78.28,1646646464.0,0
78.2,1646646465.0,0
78.12,1646646466.0,0
78.05,1646646467.0,0
77.97,1646646468.0,0
77.9,1646646469.0,0
77.87,1646646470.0,0
78.22,1646646471.0,0
78.53,1646646472.0,0
78.88,1646646473.0,0
79.0,1646646474.0,0
79.12,1646646475.0,0
79.25,1646646476.0,0
79.38,1646646477.0,0
79.53,1646646478.0,0
79.65,1646646479.0,0
79.75,1646646480.0,0
79.73,1646646481.0,0
79.72,1646646482.0,0
79.7,1646646483.0,0
79.53,1646646484.0,0
79.33,1646646485.0,0
79.02,1646646486.0,0
78.73,1646646487.0,0
78.48,1646646488.0,0
78.25,1646646489.0,0
78.0,1646646490.0,0
77.77,1646646491.0,0
77.53,1646646492.0,0
77.28,1646646493.0,0
76.92,1646646494.0,0
76.6,1646646495.0,0
76.32,1646646496.0,0
75.97,1646646497.0,0
75.9,1646646498.0,0
75.85,1646646499.0,0
75.82,1646646500.0,0
75.72,1646646501.0,0
75.57,1646646502.0,0
75.37,1646646503.0,0
75.12,1646646504.0,0
74.87,1646646505.0,0
74.65,1646646506.0,0
74.4,1646646507.0,0
74.12,1646646508.0,0
73.85,1646646509.0,0
73.62,1646646510.0,0
73.65,1646646511.0,0
73.63,1646646512.0,0
73.6,1646646513.0,0
73.58,1646646514.0,0
73.58,1646646515.0,0
73.6,1646646516.0,0
73.65,1646646517.0,0
73.7,1646646518.0,0
73.75,1646646519.0,0
73.8,1646646520.0,0
73.85,1646646521.0,0
73.88,1646646522.0,0
73.93,1646646523.0,0
74.0,1646646524.0,0
74.07,1646646525.0,0
74.13,1646646526.0,0
74.2,1646646527.0,0
74.28,1646646528.0,0
74.37,1646646529.0,0
74.47,1646646530.0,0
74.5,1646646531.0,0
74.5,1646646532.0,0
74.52,1646646533.0,0
74.5,1646646534.0,0
74.47,1646646535.0,0
74.45,1646646536.0,0
74.45,1646646537.0,0
74.42,1646646538.0,0
74.38,1646646539.0,0
74.35,1646646540.0,0
74.23,1646646541.0,0
74.15,1646646542.0,0
74.35,1646646543.0,0
74.53,1646646544.0,0
74.7,1646646545.0,0
74.87,1646646546.0,0
74.98,1646646547.0,0
75.08,1646646548.0,0
75.1,1646646549.0,0
75.1,1646646550.0,0
75.12,1646646551.0,0
75.13,1646646552.0,0
74.93,1646646553.0,0
74.87,1646646554.0,0
74.72,1646646555.0,0
74.52,1646646556.0,0
74.33,1646646557.0,0
74.07,1646646558.0,0
73.83,1646646559.0,0
73.62,1646646560.0,0
73.42,1646646561.0,0
73.23,1646646562.0,0
73.05,1646646563.0,0
72.87,1646646564.0,0
72.72,1646646565.0,0
72.58,1646646566.0,0
72.43,1646646567.0,0
72.3,1646646568.0,0
72.17,1646646569.0,0
72.05,1646646570.0,0
71.95,1646646571.0,0
71.87,1646646572.0,0
71.82,1646646573.0,0
71.77,1646646574.0,0
71.72,1646646575.0,0
71.65,1646646576.0,0
71.55,1646646577.0,0
71.45,1646646578.0,0
71.33,1646646579.0,0
71.22,1646646580.0,0
71.1,1646646581.0,0
70.97,1646646582.0,0
70.85,1646646583.0,0
70.73,1646646584.0,0
70.65,1646646585.0,0
70.58,1646646586.0,0
70.53,1646646587.0,0
70.48,1646646588.0,0
70.43,1646646589.0,0
70.37,1646646590.0,0
70.33,1646646591.0,0
70.33,1646646592.0,0
70.3,1646646593.0,0
70.3,1646646594.0,0
70.32,1646646595.0,0
70.3,1646646596.0,0
70.27,1646646597.0,0
70.27,1646646598.0,0
70.28,1646646599.0,0
70.28,1646646600.0,0
70.37,1646646601.0,0
70.42,1646646602.0,0
70.18,1646646603.0,0
69.98,1646646604.0,0
69.8,1646646605.0,0
69.63,1646646606.0,0
69.5,1646646607.0,0
69.35,1646646608.0,0
69.27,1646646609.0,0
69.2,1646646610.0,0
69.13,1646646611.0,0
69.08,1646646612.0,0
69.27,1646646613.0,0
69.43,1646646614.0,0
69.63,1646646615.0,0
69.85,1646646616.0,0
70.07,1646646617.0,0
70.4,1646646618.0,0
70.68,1646646619.0,0
70.93,1646646620.0,0
71.17,1646646621.0,0
71.35,1646646622.0,0
71.52,1646646623.0,0
71.68,1646646624.0,0
71.82,1646646625.0,0
71.92,1646646626.0,0
72.03,1646646627.0,0
72.13,1646646628.0,0
72.25,1646646629.0,0
72.37,1646646630.0,0
72.47,1646646631.0,0
72.58,1646646632.0,0
72.73,1646646633.0,0
72.88,1646646634.0,0
73.03,1646646635.0,0
73.17,1646646636.0,0
73.33,1646646637.0,0
73.5,1646646638.0,0
73.63,1646646639.0,0
73.73,1646646640.0,0
73.83,1646646641.0,0
73.97,1646646642.0,0
74.08,1646646643.0,0
74.18,1646646644.0,0
74.25,1646646645.0,0
74.32,1646646646.0,0
74.38,1646646647.0,0
74.43,1646646648.0,0
74.5,1646646649.0,0
74.58,1646646650.0,0
74.7,1646646651.0,0
74.82,1646646652.0,0
74.97,1646646653.0,0
75.12,1646646654.0,0
75.23,1646646655.0,0
75.38,1646646656.0,0
75.53,1646646657.0,0
75.6,1646646658.0,0
75.68,1646646659.0,0
75.85,1646646660.0,0
76.02,1646646661.0,0
76.18,1646646662.0,0
76.48,1646646663.0,0
76.7,1646646664.0,0
76.88,1646646665.0,0
77.07,1646646666.0,0
77.22,1646646667.0,0
77.35,1646646668.0,0
77.47,1646646669.0,0
77.58,1646646670.0,0
77.65,1646646671.0,0
77.73,1646646672.0,0
77.83,1646646673.0,0
77.93,1646646674.0,0
78.03,1646646675.0,0
78.13,1646646676.0,0
78.23,1646646677.0,0
78.3,1646646678.0,0
78.35,1646646679.0,0
78.38,1646646680.0,0
78.38,1646646681.0,0
78.42,1646646682.0,0
78.48,1646646683.0,0
78.57,1646646684.0,0
78.67,1646646685.0,0
78.78,1646646686.0,0
78.92,1646646687.0,0
79.0,1646646688.0,0
79.0,1646646689.0,0
78.98,1646646690.0,0
78.95,1646646691.0,0
78.83,1646646692.0,0
78.63,1646646693.0,0
78.28,1646646694.0,0
77.8,1646646695.0,0
77.32,1646646696.0,0
76.85,1646646697.0,0
76.43,1646646698.0,0
76.08,1646646699.0,0
75.8,1646646700.0,0
