HR,Time(sec),Label
51.0,1645449156.0,0
63.5,1645449157.0,0
75.0,1645449158.0,0
72.25,1645449159.0,0
70.6,1645449160.0,0
69.5,1645449161.0,0
68.71,1645449162.0,0
68.12,1645449163.0,0
67.67,1645449164.0,0
67.4,1645449165.0,0
67.18,1645449166.0,0
67.0,1645449167.0,0
66.85,1645449168.0,0
66.93,1645449169.0,0
67.2,1645449170.0,0
68.69,1645449171.0,0
70.47,1645449172.0,0
72.44,1645449173.0,0
74.16,1645449174.0,0
75.7,1645449175.0,0
77.29,1645449176.0,0
78.73,1645449177.0,0
80.09,1645449178.0,0
81.38,1645449179.0,0
82.64,1645449180.0,0
82.69,1645449181.0,0
82.7,1645449182.0,0
82.71,1645449183.0,0
82.72,1645449184.0,0
82.67,1645449185.0,0
82.58,1645449186.0,0
82.5,1645449187.0,0
82.3,1645449188.0,0
82.15,1645449189.0,0
82.06,1645449190.0,0
81.94,1645449191.0,0
81.76,1645449192.0,0
81.63,1645449193.0,0
81.49,1645449194.0,0
81.32,1645449195.0,0
81.2,1645449196.0,0
81.12,1645449197.0,0
81.0,1645449198.0,0
80.93,1645449199.0,0
80.89,1645449200.0,0
80.89,1645449201.0,0
80.77,1645449202.0,0
80.71,1645449203.0,0
80.71,1645449204.0,0
80.64,1645449205.0,0
80.61,1645449206.0,0
80.52,1645449207.0,0
80.45,1645449208.0,0
80.56,1645449209.0,0
80.67,1645449210.0,0
80.79,1645449211.0,0
80.95,1645449212.0,0
81.1,1645449213.0,0
81.24,1645449214.0,0
81.23,1645449215.0,0
81.8,1645449216.0,0
81.9,1645449217.0,0
81.63,1645449218.0,0
81.98,1645449219.0,0
82.32,1645449220.0,0
82.63,1645449221.0,0
82.93,1645449222.0,0
83.25,1645449223.0,0
83.58,1645449224.0,0
83.87,1645449225.0,0
84.23,1645449226.0,0
84.58,1645449227.0,0
85.0,1645449228.0,0
85.33,1645449229.0,0
85.62,1645449230.0,0
85.62,1645449231.0,0
85.47,1645449232.0,0
85.23,1645449233.0,0
85.0,1645449234.0,0
84.75,1645449235.0,0
84.43,1645449236.0,0
84.07,1645449237.0,0
83.68,1645449238.0,0
83.23,1645449239.0,0
82.75,1645449240.0,0
82.62,1645449241.0,0
82.48,1645449242.0,0
82.35,1645449243.0,0
82.22,1645449244.0,0
82.17,1645449245.0,0
82.1,1645449246.0,0
82.02,1645449247.0,0
82.0,1645449248.0,0
81.97,1645449249.0,0
81.87,1645449250.0,0
82.07,1645449251.0,0
82.32,1645449252.0,0
82.52,1645449253.0,0
82.72,1645449254.0,0
82.95,1645449255.0,0
83.18,1645449256.0,0
83.33,1645449257.0,0
83.57,1645449258.0,0
83.72,1645449259.0,0
83.85,1645449260.0,0
83.95,1645449261.0,0
84.17,1645449262.0,0
84.3,1645449263.0,0
84.42,1645449264.0,0
84.63,1645449265.0,0
84.83,1645449266.0,0
85.08,1645449267.0,0
85.32,1645449268.0,0
85.38,1645449269.0,0
85.45,1645449270.0,0
85.6,1645449271.0,0
85.68,1645449272.0,0
85.75,1645449273.0,0
85.68,1645449274.0,0
86.13,1645449275.0,0
86.53,1645449276.0,0
86.98,1645449277.0,0
87.43,1645449278.0,0
87.83,1645449279.0,0
88.23,1645449280.0,0
88.63,1645449281.0,0
89.03,1645449282.0,0
89.4,1645449283.0,0
89.75,1645449284.0,0
90.13,1645449285.0,0
90.43,1645449286.0,0
90.77,1645449287.0,0
91.07,1645449288.0,0
91.43,1645449289.0,0
91.82,1645449290.0,0
92.17,1645449291.0,0
92.53,1645449292.0,0
92.83,1645449293.0,0
93.15,1645449294.0,0
93.48,1645449295.0,0
93.75,1645449296.0,0
94.05,1645449297.0,0
94.35,1645449298.0,0
94.68,1645449299.0,0
95.02,1645449300.0,0
95.47,1645449301.0,0
95.9,1645449302.0,0
96.32,1645449303.0,0
96.75,1645449304.0,0
97.15,1645449305.0,0
97.77,1645449306.0,0
98.37,1645449307.0,0
98.98,1645449308.0,0
99.57,1645449309.0,0
100.17,1645449310.0,0
100.22,1645449311.0,0
100.32,1645449312.0,0
100.42,1645449313.0,0
100.2,1645449314.0,0
100.02,1645449315.0,0
99.75,1645449316.0,0
99.48,1645449317.0,0
99.15,1645449318.0,0
98.85,1645449319.0,0
98.53,1645449320.0,0
98.08,1645449321.0,0
97.52,1645449322.0,0
96.98,1645449323.0,0
96.43,1645449324.0,0
95.83,1645449325.0,0
95.22,1645449326.0,0
