HR,Time(sec),Label
109.0,1646838734.0,0
109.0,1646838735.0,0
90.0,1646838736.0,0
85.5,1646838737.0,0
82.6,1646838738.0,0
80.67,1646838739.0,0
79.29,1646838740.0,0
78.62,1646838741.0,0
77.44,1646838742.0,0
76.6,1646838743.0,0
75.73,1646838744.0,0
75.17,1646838745.0,0
74.62,1646838746.0,0
74.21,1646838747.0,0
73.8,1646838748.0,0
73.31,1646838749.0,0
72.88,1646838750.0,0
72.5,1646838751.0,0
72.68,1646838752.0,0
72.85,1646838753.0,0
73.0,1646838754.0,0
73.14,1646838755.0,0
73.13,1646838756.0,0
73.04,1646838757.0,0
72.88,1646838758.0,0
72.73,1646838759.0,0
72.59,1646838760.0,0
72.5,1646838761.0,0
72.38,1646838762.0,0
72.33,1646838763.0,0
72.26,1646838764.0,0
72.25,1646838765.0,0
72.27,1646838766.0,0
72.32,1646838767.0,0
72.29,1646838768.0,0
72.22,1646838769.0,0
72.19,1646838770.0,0
72.18,1646838771.0,0
72.15,1646838772.0,0
72.1,1646838773.0,0
71.93,1646838774.0,0
71.81,1646838775.0,0
71.93,1646838776.0,0
72.02,1646838777.0,0
72.09,1646838778.0,0
72.26,1646838779.0,0
72.7,1646838780.0,0
73.17,1646838781.0,0
73.65,1646838782.0,0
74.12,1646838783.0,0
74.51,1646838784.0,0
74.94,1646838785.0,0
75.32,1646838786.0,0
75.67,1646838787.0,0
75.62,1646838788.0,0
75.61,1646838789.0,0
75.51,1646838790.0,0
75.43,1646838791.0,0
75.34,1646838792.0,0
75.22,1646838793.0,0
74.58,1646838794.0,0
73.95,1646838795.0,0
74.28,1646838796.0,0
74.32,1646838797.0,0
74.38,1646838798.0,0
74.45,1646838799.0,0
74.52,1646838800.0,0
74.55,1646838801.0,0
74.65,1646838802.0,0
74.72,1646838803.0,0
74.87,1646838804.0,0
74.97,1646838805.0,0
75.08,1646838806.0,0
75.18,1646838807.0,0
75.08,1646838808.0,0
75.08,1646838809.0,0
75.1,1646838810.0,0
75.17,1646838811.0,0
75.07,1646838812.0,0
74.95,1646838813.0,0
74.78,1646838814.0,0
74.57,1646838815.0,0
74.37,1646838816.0,0
74.2,1646838817.0,0
74.07,1646838818.0,0
74.12,1646838819.0,0
74.13,1646838820.0,0
74.12,1646838821.0,0
74.13,1646838822.0,0
74.13,1646838823.0,0
74.17,1646838824.0,0
74.17,1646838825.0,0
74.15,1646838826.0,0
74.15,1646838827.0,0
74.18,1646838828.0,0
74.25,1646838829.0,0
74.27,1646838830.0,0
74.23,1646838831.0,0
74.22,1646838832.0,0
74.2,1646838833.0,0
74.27,1646838834.0,0
74.28,1646838835.0,0
74.15,1646838836.0,0
74.07,1646838837.0,0
74.03,1646838838.0,0
73.9,1646838839.0,0
73.55,1646838840.0,0
73.17,1646838841.0,0
72.73,1646838842.0,0
72.28,1646838843.0,0
71.87,1646838844.0,0
71.4,1646838845.0,0
70.95,1646838846.0,0
70.52,1646838847.0,0
70.45,1646838848.0,0
70.35,1646838849.0,0
70.35,1646838850.0,0
70.33,1646838851.0,0
70.35,1646838852.0,0
70.42,1646838853.0,0
70.43,1646838854.0,0
70.47,1646838855.0,0
70.47,1646838856.0,0
70.43,1646838857.0,0
70.37,1646838858.0,0
70.27,1646838859.0,0
70.15,1646838860.0,0
70.05,1646838861.0,0
69.98,1646838862.0,0
69.93,1646838863.0,0
69.82,1646838864.0,0
69.72,1646838865.0,0
69.62,1646838866.0,0
69.52,1646838867.0,0
69.63,1646838868.0,0
69.68,1646838869.0,0
69.72,1646838870.0,0
69.75,1646838871.0,0
69.8,1646838872.0,0
69.83,1646838873.0,0
69.9,1646838874.0,0
70.02,1646838875.0,0
70.15,1646838876.0,0
70.28,1646838877.0,0
70.42,1646838878.0,0
70.45,1646838879.0,0
70.52,1646838880.0,0
70.63,1646838881.0,0
70.75,1646838882.0,0
70.87,1646838883.0,0
71.0,1646838884.0,0
71.15,1646838885.0,0
71.33,1646838886.0,0
71.48,1646838887.0,0
71.65,1646838888.0,0
71.85,1646838889.0,0
72.1,1646838890.0,0
72.4,1646838891.0,0
72.73,1646838892.0,0
73.08,1646838893.0,0
73.4,1646838894.0,0
73.72,1646838895.0,0
73.92,1646838896.0,0
74.08,1646838897.0,0
74.23,1646838898.0,0
74.38,1646838899.0,0
74.47,1646838900.0,0
74.57,1646838901.0,0
74.63,1646838902.0,0
74.73,1646838903.0,0
74.85,1646838904.0,0
74.95,1646838905.0,0
75.03,1646838906.0,0
75.13,1646838907.0,0
75.23,1646838908.0,0
75.33,1646838909.0,0
75.42,1646838910.0,0
75.5,1646838911.0,0
75.57,1646838912.0,0
75.67,1646838913.0,0
75.77,1646838914.0,0
75.87,1646838915.0,0
76.0,1646838916.0,0
76.17,1646838917.0,0
76.38,1646838918.0,0
76.63,1646838919.0,0
76.88,1646838920.0,0
77.08,1646838921.0,0
77.27,1646838922.0,0
77.43,1646838923.0,0
77.47,1646838924.0,0
77.47,1646838925.0,0
77.47,1646838926.0,0
