HR,Time(sec),Label
79.0,1646052279.0,0
68.5,1646052280.0,0
65.0,1646052281.0,0
73.25,1646052282.0,0
70.6,1646052283.0,0
67.0,1646052284.0,0
64.57,1646052285.0,0
62.75,1646052286.0,0
61.22,1646052287.0,0
60.1,1646052288.0,0
59.09,1646052289.0,0
60.83,1646052290.0,0
62.23,1646052291.0,0
63.36,1646052292.0,0
64.0,1646052293.0,0
64.38,1646052294.0,0
64.71,1646052295.0,0
65.11,1646052296.0,0
65.53,1646052297.0,0
65.95,1646052298.0,0
66.33,1646052299.0,0
66.73,1646052300.0,0
67.09,1646052301.0,0
67.46,1646052302.0,0
67.8,1646052303.0,0
68.12,1646052304.0,0
68.37,1646052305.0,0
68.54,1646052306.0,0
68.72,1646052307.0,0
68.9,1646052308.0,0
69.0,1646052309.0,0
69.12,1646052310.0,0
69.48,1646052311.0,0
69.82,1646052312.0,0
69.97,1646052313.0,0
70.19,1646052314.0,0
70.41,1646052315.0,0
70.61,1646052316.0,0
70.82,1646052317.0,0
71.03,1646052318.0,0
71.2,1646052319.0,0
71.31,1646052320.0,0
71.12,1646052321.0,0
70.95,1646052322.0,0
70.82,1646052323.0,0
70.78,1646052324.0,0
70.79,1646052325.0,0
70.79,1646052326.0,0
70.82,1646052327.0,0
70.86,1646052328.0,0
70.92,1646052329.0,0
71.0,1646052330.0,0
71.06,1646052331.0,0
71.11,1646052332.0,0
71.15,1646052333.0,0
71.18,1646052334.0,0
71.19,1646052335.0,0
71.19,1646052336.0,0
71.22,1646052337.0,0
71.27,1646052338.0,0
71.18,1646052339.0,0
71.47,1646052340.0,0
71.78,1646052341.0,0
71.45,1646052342.0,0
71.73,1646052343.0,0
72.28,1646052344.0,0
72.85,1646052345.0,0
73.4,1646052346.0,0
73.98,1646052347.0,0
74.62,1646052348.0,0
75.23,1646052349.0,0
75.33,1646052350.0,0
75.4,1646052351.0,0
75.43,1646052352.0,0
75.43,1646052353.0,0
75.53,1646052354.0,0
75.65,1646052355.0,0
75.72,1646052356.0,0
75.77,1646052357.0,0
75.82,1646052358.0,0
75.87,1646052359.0,0
75.87,1646052360.0,0
75.87,1646052361.0,0
75.82,1646052362.0,0
75.77,1646052363.0,0
75.73,1646052364.0,0
75.73,1646052365.0,0
75.77,1646052366.0,0
75.78,1646052367.0,0
75.8,1646052368.0,0
75.85,1646052369.0,0
75.88,1646052370.0,0
75.85,1646052371.0,0
75.8,1646052372.0,0
75.83,1646052373.0,0
75.83,1646052374.0,0
75.82,1646052375.0,0
75.78,1646052376.0,0
75.83,1646052377.0,0
75.85,1646052378.0,0
75.87,1646052379.0,0
75.9,1646052380.0,0
76.18,1646052381.0,0
76.43,1646052382.0,0
76.53,1646052383.0,0
76.57,1646052384.0,0
76.57,1646052385.0,0
76.58,1646052386.0,0
76.6,1646052387.0,0
76.6,1646052388.0,0
76.58,1646052389.0,0
76.57,1646052390.0,0
76.58,1646052391.0,0
76.62,1646052392.0,0
76.65,1646052393.0,0
76.65,1646052394.0,0
76.68,1646052395.0,0
76.75,1646052396.0,0
76.77,1646052397.0,0
76.75,1646052398.0,0
76.73,1646052399.0,0
76.72,1646052400.0,0
76.67,1646052401.0,0
76.58,1646052402.0,0
76.5,1646052403.0,0
76.35,1646052404.0,0
76.17,1646052405.0,0
76.03,1646052406.0,0
75.88,1646052407.0,0
75.65,1646052408.0,0
75.47,1646052409.0,0
75.33,1646052410.0,0
75.23,1646052411.0,0
75.18,1646052412.0,0
75.25,1646052413.0,0
75.27,1646052414.0,0
75.27,1646052415.0,0
75.28,1646052416.0,0
75.3,1646052417.0,0
75.3,1646052418.0,0
75.3,1646052419.0,0
75.33,1646052420.0,0
75.35,1646052421.0,0
75.4,1646052422.0,0
75.43,1646052423.0,0
75.43,1646052424.0,0
75.42,1646052425.0,0
75.38,1646052426.0,0
75.35,1646052427.0,0
75.33,1646052428.0,0
75.33,1646052429.0,0
75.35,1646052430.0,0
