HR,Time(sec),Label
67.0,1646655396.0,0
75.0,1646655397.0,0
67.33,1646655398.0,0
64.25,1646655399.0,0
62.4,1646655400.0,0
65.83,1646655401.0,0
67.86,1646655402.0,0
69.12,1646655403.0,0
70.11,1646655404.0,0
70.8,1646655405.0,0
70.91,1646655406.0,0
70.92,1646655407.0,0
70.85,1646655408.0,0
70.93,1646655409.0,0
70.93,1646655410.0,0
71.62,1646655411.0,0
72.29,1646655412.0,0
72.83,1646655413.0,0
73.37,1646655414.0,0
73.6,1646655415.0,0
73.76,1646655416.0,0
73.95,1646655417.0,0
74.0,1646655418.0,0
74.21,1646655419.0,0
74.28,1646655420.0,0
74.31,1646655421.0,0
74.33,1646655422.0,0
74.36,1646655423.0,0
74.34,1646655424.0,0
74.4,1646655425.0,0
74.52,1646655426.0,0
74.78,1646655427.0,0
75.0,1646655428.0,0
75.12,1646655429.0,0
75.2,1646655430.0,0
75.31,1646655431.0,0
75.41,1646655432.0,0
75.66,1646655433.0,0
75.97,1646655434.0,0
76.4,1646655435.0,0
76.32,1646655436.0,0
76.4,1646655437.0,0
76.42,1646655438.0,0
76.43,1646655439.0,0
76.53,1646655440.0,0
76.63,1646655441.0,0
76.74,1646655442.0,0
76.85,1646655443.0,0
76.94,1646655444.0,0
76.98,1646655445.0,0
77.1,1646655446.0,0
77.25,1646655447.0,0
77.43,1646655448.0,0
77.61,1646655449.0,0
77.93,1646655450.0,0
78.21,1646655451.0,0
78.42,1646655452.0,0
78.62,1646655453.0,0
78.81,1646655454.0,0
79.0,1646655455.0,0
79.38,1646655456.0,0
79.52,1646655457.0,0
80.18,1646655458.0,0
80.8,1646655459.0,0
81.47,1646655460.0,0
81.68,1646655461.0,0
81.98,1646655462.0,0
82.35,1646655463.0,0
82.73,1646655464.0,0
83.1,1646655465.0,0
83.53,1646655466.0,0
84.0,1646655467.0,0
84.43,1646655468.0,0
84.87,1646655469.0,0
85.33,1646655470.0,0
85.65,1646655471.0,0
85.98,1646655472.0,0
86.42,1646655473.0,0
86.85,1646655474.0,0
87.33,1646655475.0,0
87.83,1646655476.0,0
88.32,1646655477.0,0
88.87,1646655478.0,0
89.42,1646655479.0,0
90.2,1646655480.0,0
90.62,1646655481.0,0
90.97,1646655482.0,0
91.18,1646655483.0,0
91.45,1646655484.0,0
91.63,1646655485.0,0
91.75,1646655486.0,0
91.75,1646655487.0,0
91.75,1646655488.0,0
91.78,1646655489.0,0
91.75,1646655490.0,0
91.67,1646655491.0,0
91.6,1646655492.0,0
91.43,1646655493.0,0
91.22,1646655494.0,0
90.83,1646655495.0,0
90.78,1646655496.0,0
90.58,1646655497.0,0
90.38,1646655498.0,0
90.23,1646655499.0,0
90.0,1646655500.0,0
89.72,1646655501.0,0
89.42,1646655502.0,0
89.13,1646655503.0,0
88.87,1646655504.0,0
88.55,1646655505.0,0
88.22,1646655506.0,0
87.83,1646655507.0,0
87.42,1646655508.0,0
87.02,1646655509.0,0
86.47,1646655510.0,0
86.1,1646655511.0,0
85.73,1646655512.0,0
85.33,1646655513.0,0
84.88,1646655514.0,0
84.4,1646655515.0,0
83.98,1646655516.0,0
83.78,1646655517.0,0
83.57,1646655518.0,0
83.33,1646655519.0,0
83.0,1646655520.0,0
82.78,1646655521.0,0
82.55,1646655522.0,0
82.28,1646655523.0,0
82.02,1646655524.0,0
81.75,1646655525.0,0
81.43,1646655526.0,0
81.2,1646655527.0,0
81.18,1646655528.0,0
80.7,1646655529.0,0
80.13,1646655530.0,0
79.5,1646655531.0,0
78.85,1646655532.0,0
78.08,1646655533.0,0
77.25,1646655534.0,0
76.48,1646655535.0,0
75.77,1646655536.0,0
75.1,1646655537.0,0
74.47,1646655538.0,0
73.73,1646655539.0,0
72.63,1646655540.0,0
71.88,1646655541.0,0
71.22,1646655542.0,0
70.75,1646655543.0,0
70.2,1646655544.0,0
69.7,1646655545.0,0
69.23,1646655546.0,0
68.78,1646655547.0,0
68.38,1646655548.0,0
68.02,1646655549.0,0
67.72,1646655550.0,0
67.42,1646655551.0,0
67.1,1646655552.0,0
66.82,1646655553.0,0
66.48,1646655554.0,0
66.17,1646655555.0,0
65.83,1646655556.0,0
65.53,1646655557.0,0
65.27,1646655558.0,0
64.97,1646655559.0,0
64.65,1646655560.0,0
64.62,1646655561.0,0
64.6,1646655562.0,0
64.57,1646655563.0,0
64.55,1646655564.0,0
64.65,1646655565.0,0
64.72,1646655566.0,0
64.82,1646655567.0,0
64.9,1646655568.0,0
64.97,1646655569.0,0
65.12,1646655570.0,0
65.13,1646655571.0,0
65.27,1646655572.0,0
65.52,1646655573.0,0
65.83,1646655574.0,0
66.18,1646655575.0,0
66.45,1646655576.0,0
66.4,1646655577.0,0
66.33,1646655578.0,0
66.28,1646655579.0,0
66.3,1646655580.0,0
66.18,1646655581.0,0
66.03,1646655582.0,0
65.87,1646655583.0,0
65.68,1646655584.0,0
65.5,1646655585.0,0
