HR,Time(sec),Label
85.0,1646059191.0,0
74.5,1646059192.0,0
70.33,1646059193.0,0
68.5,1646059194.0,0
67.6,1646059195.0,0
67.33,1646059196.0,0
67.14,1646059197.0,0
67.0,1646059198.0,0
66.78,1646059199.0,0
66.5,1646059200.0,0
66.27,1646059201.0,0
66.08,1646059202.0,0
65.92,1646059203.0,0
65.79,1646059204.0,0
65.67,1646059205.0,0
65.56,1646059206.0,0
65.53,1646059207.0,0
65.56,1646059208.0,0
65.63,1646059209.0,0
65.8,1646059210.0,0
66.0,1646059211.0,0
66.23,1646059212.0,0
66.52,1646059213.0,0
66.88,1646059214.0,0
67.28,1646059215.0,0
67.62,1646059216.0,0
68.07,1646059217.0,0
68.5,1646059218.0,0
68.83,1646059219.0,0
69.03,1646059220.0,0
69.19,1646059221.0,0
69.31,1646059222.0,0
69.09,1646059223.0,0
68.88,1646059224.0,0
68.69,1646059225.0,0
68.5,1646059226.0,0
68.35,1646059227.0,0
68.21,1646059228.0,0
68.08,1646059229.0,0
67.95,1646059230.0,0
67.85,1646059231.0,0
67.81,1646059232.0,0
67.79,1646059233.0,0
67.8,1646059234.0,0
67.82,1646059235.0,0
67.87,1646059236.0,0
67.94,1646059237.0,0
68.04,1646059238.0,0
68.14,1646059239.0,0
68.24,1646059240.0,0
68.33,1646059241.0,0
68.4,1646059242.0,0
68.45,1646059243.0,0
68.48,1646059244.0,0
68.47,1646059245.0,0
68.46,1646059246.0,0
68.44,1646059247.0,0
68.43,1646059248.0,0
68.44,1646059249.0,0
68.47,1646059250.0,0
68.22,1646059251.0,0
68.33,1646059252.0,0
68.48,1646059253.0,0
68.62,1646059254.0,0
68.73,1646059255.0,0
68.82,1646059256.0,0
68.9,1646059257.0,0
68.98,1646059258.0,0
69.1,1646059259.0,0
69.23,1646059260.0,0
69.37,1646059261.0,0
69.52,1646059262.0,0
69.67,1646059263.0,0
69.82,1646059264.0,0
69.95,1646059265.0,0
70.03,1646059266.0,0
70.1,1646059267.0,0
70.1,1646059268.0,0
70.08,1646059269.0,0
70.03,1646059270.0,0
69.93,1646059271.0,0
69.78,1646059272.0,0
69.6,1646059273.0,0
69.38,1646059274.0,0
69.13,1646059275.0,0
68.9,1646059276.0,0
68.6,1646059277.0,0
68.3,1646059278.0,0
68.03,1646059279.0,0
67.83,1646059280.0,0
67.68,1646059281.0,0
67.55,1646059282.0,0
67.62,1646059283.0,0
67.68,1646059284.0,0
67.75,1646059285.0,0
67.82,1646059286.0,0
67.87,1646059287.0,0
67.92,1646059288.0,0
67.97,1646059289.0,0
68.0,1646059290.0,0
68.05,1646059291.0,0
68.0,1646059292.0,0
67.93,1646059293.0,0
67.85,1646059294.0,0
67.73,1646059295.0,0
67.58,1646059296.0,0
67.4,1646059297.0,0
67.27,1646059298.0,0
67.12,1646059299.0,0
66.93,1646059300.0,0
66.72,1646059301.0,0
66.48,1646059302.0,0
66.25,1646059303.0,0
66.03,1646059304.0,0
65.88,1646059305.0,0
65.77,1646059306.0,0
65.7,1646059307.0,0
65.63,1646059308.0,0
65.57,1646059309.0,0
65.52,1646059310.0,0
65.47,1646059311.0,0
65.42,1646059312.0,0
65.38,1646059313.0,0
65.37,1646059314.0,0
65.35,1646059315.0,0
65.33,1646059316.0,0
65.32,1646059317.0,0
65.3,1646059318.0,0
65.27,1646059319.0,0
65.25,1646059320.0,0
65.23,1646059321.0,0
65.2,1646059322.0,0
65.17,1646059323.0,0
65.13,1646059324.0,0
65.12,1646059325.0,0
65.15,1646059326.0,0
65.18,1646059327.0,0
65.28,1646059328.0,0
65.38,1646059329.0,0
65.5,1646059330.0,0
65.68,1646059331.0,0
65.9,1646059332.0,0
66.12,1646059333.0,0
66.33,1646059334.0,0
66.55,1646059335.0,0
66.77,1646059336.0,0
66.97,1646059337.0,0
67.15,1646059338.0,0
67.32,1646059339.0,0
67.47,1646059340.0,0
67.6,1646059341.0,0
67.75,1646059342.0,0
67.9,1646059343.0,0
68.07,1646059344.0,0
68.25,1646059345.0,0
68.45,1646059346.0,0
68.63,1646059347.0,0
68.82,1646059348.0,0
68.98,1646059349.0,0
69.15,1646059350.0,0
